ticker,year,product,volume,production,hedge_ratio
APA,2006,Natural Gas,35959.4593,580008.725,0.06199813511426057
APA,2006,Oil,6064.000120000001,81970.605,0.07397774019113317
APA,2007,Natural Gas,79841.8893,655667.02,0.12177200753516623
APA,2007,Oil,10931.5005,90921.5,0.12023009409215642
APA,2008,Natural Gas,116696.063,590427.2849999999,0.19764679913124275
APA,2008,Oil,12261.001,92657.44,0.1323261359260519
APA,2009,Natural Gas,44335.52100000001,641967.11,0.06906198200714676
APA,2009,Oil,9689.0,101734.99,0.0952376365299687
APA,2010,Natural Gas,158859.072,689360.9,0.23044398369562297
APA,2010,Oil,12779.0,117870.91,0.10841521457669241
APA,2011,Natural Gas,132195.9424,825770.16,0.16008805936993412
APA,2011,Oil,35738.0,124079.925,0.28802402967280966
APA,2012,Natural Gas,115120.8087,837109.615,0.13752178524433745
APA,2012,Oil,16738.0,128489.49,0.1302674638991874
APA,2013,Natural Gas,16332.045900000001,765437.1199999999,0.02133688773808096
APA,2013,Oil,45993.0,126515.20499999999,0.36353733134290067
APA,2014,Natural Gas,1250.0,489217.16500000004,0.0025551024972723514
APA,2014,Oil,45701.0,109454.73999999999,0.41753331102883257
APC,2004,Natural Gas,219140.92029499996,635465.0,0.344851282596209
APC,2004,Oil,24455.0,67525.0,0.3621621621621622
APC,2005,Natural Gas,111332.04230999999,414640.0,0.2685028996478873
APC,2005,Oil,16425.0,56575.0,0.2903225806451613
APC,2006,Natural Gas,7398.648805499999,558085.0,0.013257207782864615
APC,2006,Oil,365.0,70445.0,0.0051813471502590676
APC,2007,Natural Gas,289251.921935,697989.5,0.4144072682110547
APC,2007,Oil,29565.0,78621.0,0.37604456824512533
APC,2008,Natural Gas,493243.2245,747885.0,0.6595174719375305
APC,2008,Oil,31390.0,66430.0,0.4725274725274725
APC,2009,Natural Gas,186727.79864999998,809205.0,0.23075462787550743
APC,2009,Oil,17520.0,68255.0,0.25668449197860965
APC,2010,Natural Gas,605984.5270649999,829280.0,0.7307357310739435
APC,2010,Oil,47085.0,73365.0,0.6417910447761194
APC,2011,Natural Gas,200820.463615,851910.0,0.23572967052270777
APC,2011,Oil,45990.0,79205.0,0.5806451612903226
APC,2013,Natural Gas,417495.176,967980.0,0.43130558069381597
APC,2013,Oil,24090.0,90520.0,0.2661290322580645
APC,2014,Natural Gas,563706.5511500001,944985.0,0.5965243375820781
APC,2014,Oil,39055.0,106580.0,0.3664383561643836
APC,2015,Natural Gas,283614.855,851910.0,0.33291645244215934
APC,2016,Natural Gas,13388.030274999997,763945.0,0.017524861442904917
APC,2016,Natural Gas Liquid,1460.0,46720.0,0.03125
APC,2016,Oil,30295.0,115340.0,0.2626582278481013
APC,2017,Natural Gas,253315.634505,477785.0,0.530187499618029
APC,2017,Natural Gas Liquid,730.0,36135.0,0.020202020202020204
APC,2017,Oil,33215.0,129575.0,0.2563380281690141
CLR,2010,Natural Gas,21.045366460000004,23943.999999999996,0.0008789411318075513
CLR,2010,Oil,5155.0,11818.7,0.43617318317581455
CLR,2011,Natural Gas,25100.867599999998,36671.55,0.6844779563449048
CLR,2011,Oil,12063.50069,16468.8,0.7325063568687459
CLR,2012,Natural Gas,8542.4708,63700.16499999999,0.13410437476888795
CLR,2012,Oil,16244.1208,25001.405,0.6497283172685696
CLR,2013,Natural Gas,30511.583000000002,87729.575,0.34779130071016534
CLR,2013,Oil,25460.0012,34988.534999999996,0.7276669686227217
CLR,2014,Natural Gas,101105.21100000001,114295.005,0.8845986839057403
CLR,2014,Oil,30069.251,44529.634999999995,0.6752638102692736
CLR,2015,Natural Gas,51833.975999999995,164453.67,0.3151889282860029
CLR,2016,Natural Gas,129063.7,194706.33000000002,0.6628634004862605
CLR,2017,Natural Gas,181380.309,228158.94500000007,0.794973473426606
ECA,2017,Natural Gas,314630.0,402960.0,0.7807971014492754
ECA,2017,Oil,26949.166666666664,27849.5,0.9676714722586282
MRO,2004,Natural Gas,26645.0,364781.0,0.07304382629577746
MRO,2004,Oil,16060.0,62086.5,0.2586713697824809
MRO,2010,Natural Gas,38754.826555,313900.0,0.12346233372093023
MRO,2010,Oil,38613.96040166666,98185.0,0.39327759231722426
MRO,2013,Oil,27375.00146,113150.0,0.24193549677419354
MRO,2017,Natural Gas,48149.933368333324,304045.0,0.15836449659863944
MRO,2017,Oil,19466.668126666667,74095.0,0.26272579967159276
PDCE,2013,Natural Gas,28489.28686,15431.47,1.846181009327044
PDCE,2013,Oil,2326.5,2909.78,0.7995449827822034
PDCE,2014,Natural Gas,19455.1154,19298.000001200002,1.0081415379205216
PDCE,2014,Oil,4112.0,4321.9000008,0.9514333971722745
PDCE,2015,Natural Gas,21703.6682,33301.505000000005,0.6517323526369153
PDCE,2015,Oil,5200.0,6982.45,0.7447242729987326
PDCE,2016,Natural Gas,28716.215699999997,51730.000001,0.5551172569001523
PDCE,2016,Oil,4140.0,8728.000001049999,0.47433547198693266
PDCE,2017,Natural Gas,33986.486600000004,71689.000008,0.4740823082510196
PDCE,2017,Oil,8466.0,12902.00000165,0.6561773367630839
RRC,2004,Natural Gas,34495.319077500004,50722.006,0.6800858601195703
RRC,2004,Natural Gas Liquid,502.60503650000004,988.00025,0.5087094223913405
RRC,2004,Oil,1875.370073,2512.003,0.74656362790968
RRC,2005,Natural Gas,41527.55526000001,63004.000499999995,0.6591256893282517
RRC,2005,Natural Gas Liquid,240.17001824999997,1011.999,0.23732238692923607
RRC,2005,Oil,2029.765146,3030.9965,0.6696692477210052
RRC,2007,Natural Gas,68643.95714000001,89594.725,0.7661606990813355
RRC,2007,Oil,2299.500073,3359.825,0.6844106681151549
RRC,2008,Natural Gas,79271.23144,114011.03500000003,0.6952943760224611
RRC,2008,Oil,3285.0,3076.22,1.0678690080683437
RRC,2009,Natural Gas,77509.65019,130648.82999999999,0.5932670823764744
RRC,2009,Oil,2920.0,2556.825,1.1420413990007139
RRC,2010,Natural Gas,85386.0414,106147.475,0.8044095387101765
RRC,2010,Oil,365.0,1934.5,0.18867924528301888
RRC,2011,Natural Gas,143815.6356,145206.125,0.9904240306667506
RRC,2012,Natural Gas,147223.59315,215962.835,0.6817080038331595
RRC,2012,Natural Gas Liquid,4380.000365,6948.139999999999,0.63038458709813
RRC,2012,Oil,730.0,2843.35,0.25673940949935814
RRC,2013,Natural Gas,173827.3664,264528.275,0.6571220653066293
RRC,2013,Natural Gas Liquid,5292.5000365,9254.939999999999,0.5718567636851238
RRC,2013,Oil,2949.5651824999995,3827.3899999999994,0.7706466240701888
RRC,2014,Natural Gas,234958.88040000002,286926.1349999999,0.8188828124701855
RRC,2014,Natural Gas Liquid,5475.000438,18820.495000000003,0.2909062932723076
RRC,2014,Oil,4016.4602555,4069.75,0.9869058923766817
RRC,2015,Natural Gas,196377.7453,362686.62999999995,0.5414529487894275
RRC,2015,Natural Gas Liquid,880.2583698333334,20356.050000000003,0.04324308349769888
RRC,2015,Oil,3513.490146,4083.985,0.860309268031102
RRC,2016,Natural Gas,262783.78304999997,374784.555,0.7011595850047768
RRC,2016,Natural Gas Liquid,3923.385219,27749.49000000001,0.14138584957777597
RRC,2016,Oil,1550.1550730000001,3599.2650000000003,0.43068656322888144
RRC,2017,Natural Gas,373220.244205,490253.4,0.7612802771077161
RRC,2017,Natural Gas Liquid,9803.900803,35709.41,0.27454670359997546
RRC,2017,Oil,3117.830292,4786.975,0.6513153488372093
SWN,2003,Natural Gas,31900.0,38000.15,0.8394703705116953
SWN,2003,Oil,240.0,531.075,0.45191357152944495
SWN,2004,Natural Gas,35900.0,50406.5,0.7122097348556238
SWN,2004,Oil,426.0,617.945,0.689381741093463
SWN,2005,Natural Gas,49400.0,56801.3,0.8696984047900311
SWN,2005,Oil,360.0,704.4499999999999,0.5110369792036341
SWN,2006,Natural Gas,51800.0,68094.4,0.760708663267464
SWN,2006,Oil,120.0,697.15,0.17212938392024674
SWN,2007,Natural Gas,69800.0,109868.65,0.6353040653544028
SWN,2008,Natural Gas,103700.0,192263.75,0.5393632445013685
SWN,2009,Natural Gas,136300.0,299700.04,0.45478806075568096
SWN,2010,Natural Gas,66000.0,403599.845,0.1635283085899104
SWN,2011,Natural Gas,131410.0,499396.65,0.2631375280551041
SWN,2012,Natural Gas,272100.0,562830.0,0.4834497095037578
SWN,2013,Natural Gas,185600.0,655905.0,0.28296780783802533
SWN,2014,Natural Gas,382300.0,766000.000005,0.4990861618766378
SWN,2015,Natural Gas,240000.0,899000.0001349999,0.26696329250718576
SWN,2017,Natural Gas,560000.0,797000.0000600003,0.702634880750115
UNT,2007,Natural Gas,5871.943400833334,43463.99925,0.13509901302589714
UNT,2008,Natural Gas,20190.79797041667,47472.99865000001,0.4253111988832975
UNT,2008,Natural Gas Liquid,1255.4285664,1388.0001,0.904487374604656
UNT,2008,Oil,912.5,1260.99835,0.7236329849281722
UNT,2009,Natural Gas,33470.076855499996,44063.00075,0.7595959486599423
UNT,2009,Oil,912.5,1286.0008500000001,0.7095640722165929
UNT,2010,Natural Gas,29946.911180000003,40756.0095,0.7347851653631596
UNT,2010,Oil,912.5000365,1520.9914999999999,0.5999376304864295
UNT,2011,Natural Gas,27157.736843375,44102.95,0.6157805054622197
UNT,2011,Natural Gas Liquid,184.115988,2237.45,0.08228831392880288
UNT,2011,Oil,1460.0,2511.2,0.5813953488372093
UNT,2012,Natural Gas,18203.024621666664,48796.85,0.37303687884907866
UNT,2012,Natural Gas Liquid,1141.4473991999998,2788.6,0.40932632833679977
UNT,2012,Oil,2220.4168491666665,3270.4,0.6789435081845238
UNT,2013,Natural Gas,35231.66004,56753.850000000006,0.6207800887516882
UNT,2013,Oil,2372.5001825,3361.65,0.7057546688382192
UNT,2014,Natural Gas,31708.4945105,58852.600000000006,0.5387781425204663
UNT,2014,Oil,2646.250073,3843.45,0.6885090408357076
UNT,2015,Natural Gas,28185.328348333333,65545.97,0.4300085626672903
UNT,2015,Oil,365.0,3783.225,0.0964785335262904
UNT,2016,Natural Gas,35114.22052045834,55582.2,0.6317529806387358
UNT,2016,Oil,909.4583759166666,2965.625,0.306666681025641
UNT,2017,Natural Gas,37874.03469204167,51259.505000000005,0.7388685218876317
UNT,2017,Oil,1368.750073,2715.235,0.504100040328001
